National - Regional - LA - OAs,Month,People on Universal Credit,dttm
Barking and Dagenham,July 2023,31959,2023-07-01
Barking and Dagenham,August 2023,32309,2023-08-01
Barking and Dagenham,September 2023,32816,2023-09-01
Barking and Dagenham,October 2023,33158,2023-10-01
Barking and Dagenham,November 2023,33495,2023-11-01
Barking and Dagenham,December 2023,34093,2023-12-01
Barnet,January 2020,14484,2020-01-01
Barnet,February 2020,15144,2020-02-01
Barnet,March 2020,15817,2020-03-01
Barnet,April 2020,20594,2020-04-01
Barnet,May 2020,31483,2020-05-01
Barnet,June 2020,33394,2020-06-01
Barnet,July 2020,34142,2020-07-01
Barnet,August 2020,34661,2020-08-01
Barnet,September 2020,35386,2020-09-01
Barnet,October 2020,35811,2020-10-01
Barnet,November 2020,36761,2020-11-01
Barnet,December 2020,37527,2020-12-01
Barnet,January 2021,37811,2021-01-01
Barnet,February 2021,38204,2021-02-01
Barnet,March 2021,38280,2021-03-01
Barnet,April 2021,38481,2021-04-01
Barnet,May 2021,38345,2021-05-01
Barnet,June 2021,37970,2021-06-01
Barnet,July 2021,37623,2021-07-01
Barnet,August 2021,37561,2021-08-01
Barnet,September 2021,37199,2021-09-01
Barnet,October 2021,36956,2021-10-01
Barnet,November 2021,36658,2021-11-01
Barnet,December 2021,36142,2021-12-01
Barnet,January 2022,35798,2022-01-01
Barnet,February 2022,35617,2022-02-01
Barnet,March 2022,35417,2022-03-01
Barnet,April 2022,35313,2022-04-01
Barnet,May 2022,35321,2022-05-01
Barnet,June 2022,35519,2022-06-01
Barnet,July 2022,35749,2022-07-01
Barnet,August 2022,35840,2022-08-01
Barnet,September 2022,35927,2022-09-01
Barnet,October 2022,36246,2022-10-01
Barnet,November 2022,36459,2022-11-01
Barnet,December 2022,36534,2022-12-01
Barnet,January 2023,36531,2023-01-01
Barnet,February 2023,36751,2023-02-01
Barnet,March 2023,36853,2023-03-01
Barnet,April 2023,37067,2023-04-01
Barnet,May 2023,37318,2023-05-01
Barnet,June 2023,37572,2023-06-01
Barnet,July 2023,37911,2023-07-01
Barnet,August 2023,38051,2023-08-01
Barnet,September 2023,38181,2023-09-01
Barnet,October 2023,38668,2023-10-01
Barnet,November 2023,39157,2023-11-01
Barnet,December 2023,39845,2023-12-01
Bexley,January 2020,7174,2020-01-01
Bexley,February 2020,7726,2020-02-01
Bexley,March 2020,8037,2020-03-01
Bexley,April 2020,12282,2020-04-01
Bexley,May 2020,17062,2020-05-01
Bexley,June 2020,17571,2020-06-01
Bexley,July 2020,17774,2020-07-01
Bexley,August 2020,17859,2020-08-01
Bexley,September 2020,18170,2020-09-01
Bexley,October 2020,18183,2020-10-01
Bexley,November 2020,18541,2020-11-01
Bexley,December 2020,18819,2020-12-01
Bexley,January 2021,19002,2021-01-01
Bexley,February 2021,19243,2021-02-01
Bexley,March 2021,19264,2021-03-01
Bexley,April 2021,19281,2021-04-01
Bexley,May 2021,19184,2021-05-01
Bexley,June 2021,18994,2021-06-01
Bexley,July 2021,18818,2021-07-01
Bexley,August 2021,18576,2021-08-01
Bexley,September 2021,18257,2021-09-01
Bexley,October 2021,17969,2021-10-01
Bexley,November 2021,17755,2021-11-01
Bexley,December 2021,17555,2021-12-01
Bexley,January 2022,17315,2022-01-01
Bexley,February 2022,17254,2022-02-01
Bexley,March 2022,17104,2022-03-01
Bexley,April 2022,17108,2022-04-01
Bexley,May 2022,17150,2022-05-01
Bexley,June 2022,17237,2022-06-01
Bexley,July 2022,17508,2022-07-01
Bexley,August 2022,17604,2022-08-01
Bexley,September 2022,17659,2022-09-01
Bexley,October 2022,17813,2022-10-01
Bexley,November 2022,17871,2022-11-01
Bexley,December 2022,17871,2022-12-01
Bexley,January 2023,17898,2023-01-01
Bexley,February 2023,17881,2023-02-01
Bexley,March 2023,17902,2023-03-01
Bexley,April 2023,18165,2023-04-01
Bexley,May 2023,18304,2023-05-01
Bexley,June 2023,18442,2023-06-01
Bexley,July 2023,18649,2023-07-01
Bexley,August 2023,18744,2023-08-01
Bexley,September 2023,18926,2023-09-01
Bexley,October 2023,19232,2023-10-01
Bexley,November 2023,19543,2023-11-01
Bexley,December 2023,20077,2023-12-01
Brent,January 2020,13989,2020-01-01
Brent,February 2020,14996,2020-02-01
Brent,March 2020,15691,2020-03-01
Brent,April 2020,20653,2020-04-01
Brent,May 2020,33717,2020-05-01
Brent,June 2020,36806,2020-06-01
Brent,July 2020,37976,2020-07-01
Brent,August 2020,38671,2020-08-01
Brent,September 2020,39919,2020-09-01
Brent,October 2020,40988,2020-10-01
Brent,November 2020,42590,2020-11-01
Brent,December 2020,43700,2020-12-01
Brent,January 2021,44373,2021-01-01
Brent,February 2021,45484,2021-02-01
Brent,March 2021,46058,2021-03-01
Brent,April 2021,46170,2021-04-01
Brent,May 2021,46010,2021-05-01
Brent,June 2021,45591,2021-06-01
Brent,July 2021,45133,2021-07-01
Brent,August 2021,44827,2021-08-01
Brent,September 2021,44332,2021-09-01
Brent,October 2021,44133,2021-10-01
Brent,November 2021,43770,2021-11-01
Brent,December 2021,43240,2021-12-01
Brent,January 2022,42930,2022-01-01
Brent,February 2022,42738,2022-02-01
Brent,March 2022,42619,2022-03-01
Brent,April 2022,42631,2022-04-01
Brent,May 2022,42623,2022-05-01
Brent,June 2022,42586,2022-06-01
